state,cluster
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,1
Colorado,0
Connecticut,0
Delaware,0
Florida,2
Georgia,0
Hawaii,0
Idaho,0
Illinois,2
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,0
Michigan,2
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,0
New Mexico,0
New York,2
North Carolina,2
North Dakota,0
Ohio,2
Oklahoma,0
Oregon,0
Pennsylvania,2
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,1
Utah,0
Vermont,0
Virginia,0
Washington,0
West Virginia,0
Wisconsin,0
Wyoming,0
